methodology_version,language,block_code,block_order,block_title,block_weight,block_is_active,question_order,question_key,legacy_ai_context_label,legacy_bubble_unique_id,question_text,question_type,question_type_source,question_weight,is_required,is_active,reverse_score,choices,help_text
RU-2.0,ru,strategy,2,Стратегия,1,true,9,strategy_check_prerequisites,strategy_check_prerequisites,1787219236416x764758842505763500,"В компании определён понятный порядок принятия стратегических решений: известно, кто готовит варианты, кто участвует в обсуждении и кто принимает окончательное решение.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,strategy,2,Стратегия,1,true,10,strategy_regularly_review,strategy_regularly_review,1787219371725x340140432758348800,"Реализация стратегии регулярно оценивается по фактическим результатам, а сама стратегия и стратегические инициативы корректируются, когда меняются результаты, исходные предположения или внешняя среда.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,1,role_clarity,role_clarity,1783585915359x372538126560773250,"Организационная структура соответствует текущей стратегии, бизнес-модели и масштабу компании и своевременно изменяется вместе с развитием бизнеса.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,2,understands_area_responsibility,understands_area_responsibility,1783585979883x248855741599125280,"Для каждого значимого результата и ключевой функции определён персональный владелец, который обладает необходимыми полномочиями и несёт ответственность за результат.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,3,balance_authority_responsibility,balance_authority_responsibility,1787225486427x778000591130760800,"В распределении функций и ответственности между подразделениями нет существенных дублирований и «белых пятен», за которые фактически никто не отвечает.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,4,decision_making_procedure,decision-making_procedure,1787225992748x805322063490659500,Количество уровней управления и число прямых подчинённых у руководителей позволяют им качественно выполнять управленческую работу и не создают системной перегрузки.,scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,5,no_duplication_functions,no_duplication_functions,1787226151477x383192269280464300,"Роли собственника, генерального директора и топ-команды чётко разделены; стратегическое руководство не подменяет собой операционное управление.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,6,responsibility_determined,responsibility_determined,1787226287821x617017485712647400,"На стыках подразделений определены правила взаимодействия и передачи результата, поэтому задачи и ответственность не «зависают» между функциями.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,7,no_conflicts_responsibility,no_conflicts_responsibility,1787226469650x497460650418403840,"Роли, полномочия и ответственность руководителей и подразделений формализованы в необходимой для бизнеса степени, актуальны и реально используются в работе.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,8,interaction_departments,interaction_departments,1787226816681x109154530632088020,"Для основных типов управленческих решений понятно, на каком уровне они должны приниматься и кто обладает необходимыми полномочиями для окончательного решения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,9,structure_relevant_strategy,structure_relevant_strategy,1787226940850x108129602604139620,"Как правило, вопросы не поднимаются на более высокий уровень без необходимости: решения принимаются максимально близко к месту возникновения задачи при наличии необходимых полномочий и компетенций.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,structure,3,Организационная структура,1,true,10,responsibility_for_decisions,responsibility_for_decisions,1787227072066x601282345604735000,"Организационная структура периодически пересматривается с учётом стратегии, роста компании и фактических проблем управления, а результаты внесённых изменений оцениваются после внедрения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,1,process_description,process_description,1783586111545x861458508611283600,Ключевые сквозные процессы компании определены от входа или потребности клиента до конечного результата и понятны основным участникам процесса.,scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,2,process_responsibility,process_responsibility ,1783586319273x522979215804596030,"У каждого критически важного процесса есть персональный владелец, отвечающий за его конечный результат и развитие процесса в целом.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,3,process_executors_trained,process_executors_trained,1787234789306x204705249865491550,"Для повторяющихся критически важных операций существуют необходимые стандарты и регламенты; они актуальны, доступны сотрудникам и реально применяются.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,4,rules_interaction_departments,rules_interaction_departments,1787234935250x884311952868928900,"По ключевым процессам определены показатели результата и эффективности, позволяющие оценивать качество, сроки, стоимость, производительность, потери и другие существенные параметры.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,5,rules_and_standards_established,rules&standards_established,1787235133202x767593855303725600,"Компания понимает финансовую и операционную эффективность на необходимом для управления уровне — по направлениям, продуктам, клиентским сегментам, заказам или процессам, там, где это существенно для принятия решений.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,6,process_indicators_measured,process_indicators_measured,1787235281716x484379965956875500,"Существенные отклонения и сбои анализируются с выявлением корневых причин, после чего принимаются и контролируются корректирующие меры.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,7,process_bottlenecks_known,process_bottlenecks_known,1787235401691x998995278647193600,"Руководители и сотрудники владеют понятными методами анализа процессов, выявления потерь и причин неэффективности и регулярно используют их для совершенствования работы.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,8,system_analysis_bottlenecks,system_analysis_bottlenecks,1787235517637x756780722057004000,"Улучшение процессов ведётся системно, а результаты изменений оцениваются по фактическому изменению сроков, качества, затрат, производительности или клиентского результата.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,9,continuous_improvement_cycle,continuous_improvement_cycle,1787235725588x830318921517825300,"Основные операционные результаты достаточно стабильны и предсказуемы, чтобы компания могла планировать объёмы, сроки, качество и ресурсы без постоянного режима аврала.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,processes,4,Процессы и операционная эффективность,1,true,10,employees_improve_processes,employees_improve_processes,1787236016911x923563360468006000,"Автоматизация эффективно применяется в ключевых процессах и позволяет существенно снизить ручной труд, количество ошибок, время выполнения операций или зависимость от отдельных сотрудников.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,1,goals_and_metrics_for_year,goals_and_metrics_for_year,1783586443429x957511457728975200,"У компании есть ограниченное число чётко сформулированных приоритетных целей на год, которые понятны руководителям и служат основой для распределения внимания и ресурсов.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,2,all_goals_are_interconnected,all_goals_are_interconnected,1783586517866x569620185677948200,"Для каждой существенной цели определены конкретный измеримый результат, срок достижения и персональный владелец результата.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,3,managers_understand_goals,managers_understand_goals,1787304745525x539272916990906500,"Цели компании последовательно декомпозированы до целей подразделений и ключевых руководителей так, чтобы было понятно, какой вклад обеспечивает каждый уровень управления.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,4,all_goals_are_measurable,all_goals_are_measurable,1787304901737x106015096625203580,"У каждого руководителя и ключевого сотрудника есть ограниченное число приоритетных результатов, и он понимает, как их достижение связано с общими целями компании.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,5,indicators_related_responsible,indicators_related_responsible,1787304975404x891277322079056900,"Компания использует систему целей и показателей как полноценный управленческий цикл: планирует результаты, измеряет факт, выявляет отклонения, анализирует их причины и принимает корректирующие решения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,6,there_are_early_warning_indicators,there_are_early_warning_indicators,1787305656464x450411983760993000,"Система показателей сбалансирована: она отражает не только финансовые результаты, но и состояние клиентов, процессов, качества, команды и других факторов, оказывающих влияние на результат.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,7,performance_data_trusted,performance_data_trusted,1787305860756x450740968597333570,"Руководители регулярно сопоставляют плановые и фактические показатели, анализируют причины существенных отклонений и используют результаты анализа при принятии решений.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,8,indicators_are_not_contradictory,indicators_are_not_contradictory,1787306053671x891573393860950500,"Цели и показатели пересматриваются, когда существенно меняются стратегия, рыночные условия или исходные предположения, а не сохраняются формально до конца планового периода.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,9,comparison_of_plan_and_actual,comparison_of_plan_and_actual,1787306106676x277936209368504700,Система вознаграждения поддерживает достижение значимых результатов и необходимое компании поведение и не создаёт стимулов улучшать отдельный показатель в ущерб общему результату.,scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,goals_kpi,5,Цели и показатели,1,true,10,decisions_on_indicators_deviations,decisions_on_indicators_deviations ,1787306408564x103887134034792660,По ключевым показателям существуют единые правила расчёта и понятные источники данных; информация обновляется с необходимой периодичностью и воспринимается руководителями как достоверная основа для принятия решений.,scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,1,planning_and_control_cycle,planning_and_control_cycle,1783586727567x952015639072278300,"В компании существует согласованный календарь регулярных управленческих встреч и обзоров, соответствующий различным горизонтам управления — оперативному, тактическому и стратегическому.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,2,discussion_of_plan_implementation,discussion_of_plan_implementation,1783586791751x584429051944596200,"У каждого регулярного управленческого формата есть конкретная цель, круг участников, необходимые входные данные, регламент и понятный ожидаемый результат.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,3,causes_of_deviations_are_identified,causes_of_deviations_are_identified,1787310273215x847587236504996300,"Участники приходят на управленческие встречи подготовленными, а необходимые данные доступны заранее и не становятся предметом длительного выяснения непосредственно на совещании.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,4,decisions_have_deadlines_persons,decisions_have_deadlines_persons ,1787310562494x264590914068017380,"Управленческие встречи сосредоточены прежде всего на существенных отклонениях, причинах, вариантах действий и решениях, а не на простом обмене информацией.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,5,decisions_systematically_monitored,decisions_systematically_monitored,1787310683960x153459290258526560,"По итогам встреч фиксируются решения, ответственные и сроки, а выполнение принятых решений систематически контролируется.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,6,escalation_of_complex_problems,escalation_of_complex_problems,1787310795324x222647358059110400,"В компании есть единое доступное место, где можно увидеть действующие управленческие решения, ответственных, сроки исполнения и текущий статус каждого решения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,7,plans_are_being_promptly_adjusted,plans_are_being_promptly_adjusted,1787310951557x986264612428208100,"Операционные, тактические и стратегические вопросы рассматриваются в соответствующих управленческих контурах и не смешиваются без необходимости.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,8,crossfunction_issues_resolved_jointly,crossfunction_issues_resolved_jointly,1787311173170x267886109379733800,"Регулярные обзоры результатов приводят к конкретным корректирующим действиям, изменению приоритетов или перераспределению ресурсов, когда это необходимо.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,9,management_cycles_are_regulated,management_cycles_are_regulated,1787311367729x426547837157488000,"Для существенных проблем существует понятный механизм эскалации: вопрос быстро попадает на тот уровень управления, где есть необходимые полномочия для его решения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,management_rhythm,6,Управленческий ритм,1,true,10,no_need_for_manual_control,no_need_for_manual_control,1787311513675x307890049593789500,"Межфункциональные вопросы регулярно рассматриваются совместно заинтересованными подразделениями, а проблемы на стыках доводятся до конкретных решений и контроля исполнения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,1,competence_management_team,competence_management_team,1783586876379x383133087100425500,"Состав топ-команды соответствует текущей стратегии и задачам компании; мы понимаем, каких управленческих и профессиональных компетенций команде не хватает.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,2,managers_are_independent,managers_are_independent,1783586975663x576051585512299400,"У каждого члена топ-команды есть чётко определённая зона результата, необходимые полномочия и персональная ответственность за принимаемые решения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,3,honest_discussions_within_team,honest_discussions_within_team,1787608947798x877063367130080000,"Члены топ-команды принимают большинство решений в пределах своих полномочий самостоятельно, не перекладывая ответственность на генерального директора или собственника.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,4,managers_implement_decisions,managers_implement_decisions,1787643193527x931967974147429100,"В топ-команде можно открыто поднимать проблемы, риски, сомнения и плохие новости, в том числе когда эта информация неприятна другим членам команды или руководителю.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,5,the_leaders_act_as_one_team,the_leaders_act_as_one_team,1787643474542x851558350399202600,"Команда умеет конструктивно обсуждать разногласия, рассматривать различные точки зрения и принимать решения, не переводя содержательный конфликт в личный.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,6,first_person_delegates_authority,first_person_delegates_authority,1787643692855x648082716586771700,"Принятые договорённости выполняются; если выполнить их невозможно, об этом сообщают заранее и инициируют пересмотр решения, а не констатируют срыв постфактум.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,7,managers_do_development_tasks,managers_do_development_tasks,1787643825520x438692288545206000,"Работа членов топ-команды регулярно оценивается по результатам и управленческому поведению, а выводы используются для развития, изменения роли, ротации или других кадровых решений.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,8,managers_are_constantly_learning,managers_are_constantly_learning,1787748954111x820081666883590900,"Развитие руководителей носит системный характер: необходимые компетенции определяются, целенаправленно развиваются и оцениваются по изменению результатов и управленческой практики.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,9,company_forming_personnel_reserve,company_forming_personnel_reserve,1787749095936x852789934203823900,"Члены топ-команды принимают решения в интересах компании в целом, а не оптимизируют только результаты собственной функции или подразделения.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,team,7,Зрелость команды,1,true,10,the_team_can_act_independently,the_team _can_act_independently,1787749253197x689901075761918600,"Для критически важных руководящих ролей компания понимает риски зависимости от конкретных людей, имеет потенциальных преемников или план замещения и системно готовит сотрудников к более высокой ответственности.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,1,personal_responsibility_of_managers,personal_responsibility_of_managers,1783587056616x506590255312982850,"У компании есть ясные приоритеты развития продуктов, услуг и клиентской ценности, связанные со стратегией и изменениями потребностей рынка.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,2,personal_results_and_indicators,personal_results_and_indicators,1783587162786x571539607414465200,"Существует управляемый процесс создания и развития новых продуктов, услуг или бизнес-моделей — от выявления потребности и проверки гипотезы до запуска и оценки результата.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,3,authority_and_responsibility_balance,authority_and_responsibility_balance,1787750505666x223764748401152000,"У компании есть понятные критерии выбора инициатив развития: мы сравниваем их стратегическую ценность, ожидаемый эффект, риски и необходимые ресурсы и умеем не только запускать, но и своевременно останавливать проекты.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,4,rewards_encourage_goal_achievement,rewards_encourage_goal_achievement,1787754468016x880054206400300300,"Мы понимаем, как должна изменяться сама организация по мере роста и развития бизнеса, и имеем представление о необходимом развитии структуры, процессов, технологий и компетенций на ближайшие 2–3 года.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,5,managers_are_rewarded_for_results,managers_are_rewarded_for_results,1787754593181x507587127100288500,"Значимые организационные изменения управляются как полноценные проекты или программы с определёнными целями, владельцами, ресурсами, сроками и критериями результата.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,6,employees_receive_recognition_results,employees_receive_recognition_results,1787754695943x244933535971017400,"В компании действует постоянный механизм генерации, отбора, проверки и масштабирования новых идей, а инновации не зависят исключительно от эпизодической инициативы отдельных сотрудников.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,7,failure_to_comply_has_consequences,failure_to_comply_has_consequences,1787754899881x843788104586588000,"Компания системно выделяет необходимые ресурсы — людей, время и деньги — на исследования, эксперименты, разработку новых решений и проверку перспективных гипотез.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,8,employees_receive_feedback,employees_receive_feedback,1787755007079x859866226090274600,"В компании можно безопасно проводить обоснованные контролируемые эксперименты; неудачная гипотеза рассматривается как источник знания, если эксперимент был корректно проведён и его выводы использованы.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,9,responsibility_is_personalized,responsibility_is_personalized,1787755193770x345071448493466500,"Технологические, рыночные и другие существенные тренды регулярно оцениваются с точки зрения их возможного влияния на бизнес, а перспективные возможности переводятся в конкретные инициативы развития.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,motivation,8,Инновации и развитие,1,true,10,its_not_customary_shift_responsibility,It's_not_customary_shift_responsibility,1787755334263x369655743925211700,"Инновационная деятельность создаёт измеримый эффект: новые или существенно улучшенные продукты, процессы, технологии или бизнес-модели дают подтверждённую ценность клиентам и компании.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,1,leaders_exemplify_values,leaders_exemplify_values,1783587214949x927647621220163800,"У нас есть чётко определённые ценности, известные каждому члену коллектива, и это не просто слова — они реально влияют на поведение людей.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,2,talk_openly_about_problems,talk_openly_about_problems,1783587285000x569324510192887800,"Руководители всех уровней своим фактическим поведением демонстрируют те нормы и принципы, которых компания ожидает от сотрудников.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,3,errors_require_identifying_causes,errors_require_identifying_causes,1787755917324x160360759749823100,"Компания понимает, какая культура необходима для реализации её стратегии, и целенаправленно развивает соответствующие нормы поведения и взаимодействия.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,4,employees_show_initiative,employees_show_initiative,1787756114898x527847268903444350,"Сотрудники и руководители могут открыто сообщать о проблемах, рисках и ошибках, в том числе когда эта информация неприятна вышестоящему руководству.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,5,cross_functional_cooperation,cross_functional_cooperation,1787824609505x386261154025289800,"Базовые правила взаимодействия, ответственности и допустимого поведения применяются последовательно независимо от должности, статуса и личной близости сотрудника к руководству.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,6,employee_participation_in_management,employee_participation_in_management,1787825172752x947648348971038100,"При ошибках и сбоях компания стремится выявить причины и улучшить систему, одновременно сохраняя персональную ответственность за сознательное нарушение правил и договорённостей.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,7,fulfillment_of_obligations_is_valued,fulfillment_of_obligations_is_valued,1787825369340x617692391651868400,"Корпоративная культура помогает компании привлекать и удерживать сильных сотрудников, создавая условия для профессионального развития, реализации способностей и продуктивного сотрудничества.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,8,respond_quickly_to_changes,respond_quickly_to_changes,1787825571560x346015084718924740,"Сотрудники не только получают информацию о целях, планах и изменениях компании, но имеют работающие каналы обратной связи, обсуждения проблем и внесения предложений.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,9,employees_receive_full_information,employees_receive_full_information,1787825805703x779508169586351500,"Сотрудничество между подразделениями строится вокруг результата компании и клиента, а функциональные границы не становятся препятствием для решения общих задач.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,culture,9,Корпоративная культура,1,true,10,employees_are_committed_to_values,employees_are_committed_to_values,1787825942943x684918142820538400,"Сотрудники имеют достаточную самостоятельность в своей зоне ответственности, а обоснованные инициативы и предложения по улучшению получают поддержку и возможность реализации.",scale_0_4,Шкала 0–4,1,true,true,false,,
RU-2.0,ru,open_questions,10,Открытые вопросы,0,true,1,management_failures,management_failures,1783587405021x447062850204383170,Где чаще всего возникают управленческие сбои?,text,Текстовый ответ,0,false,true,false,,
RU-2.0,ru,open_questions,10,Открытые вопросы,0,true,2,owner_intervention_cases,owner_intervention_cases,1783587488943x891548191105283000,В каких ситуациях собственнику или первому лицу приходится вмешиваться лично?,text,Текстовый ответ,0,false,true,false,,
